glossary_id,term,category,definition,tkdl_original_term,source_url,verification_status
GLOS-0040,Anupaṇaya,Roga Nid¢na,"Fourth phase of ¡yurvedika diagnostic process (Pa®canid¢na). It refers to diet, drugs or regimens which aggravate the condition of the patient and is contrary to Upaºaya.  Employed to determine the hidden sign & symptoms, Anupaºaya is used for diffrential diagnosis and to ascertain the precise nature and magnitude of a disease. For example, in case of rheumatoid arthritis (¡mav¢ta), application of oils (Snehana) is Anupaºaya & aggravates the condition, but it relieves Arthritis (Sa¼dhiv¢ta) and is regarded as Upaºaya for that. See Upaºaya also.",Anupaºaya,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0041,Anurasa,Dravyagu´a,"Secondary taste. It refers to the taste which manifests slightly or manifests at the end, after the main Rasa. For example sour taste of amalki(Indian gooseberry) is its Rasa', but the sweet taste perceived at the end is the Anurasa'. The secondary taste or the Anurasa may be present in the fresh state of substance but disappears in dry state. See Rasa also.",Anurasa,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0042,Anuvāsana Basti,K¢yacikits¢,One of the Bastis (Intra-rectal therapies) mentioned in ¡yurveda. Anuv¢sana refers to unctous (oily) medicated enemas/intrarectals that must be retained in the body for a minimum of nine hours to produce desired therapeutic effects. It nourishes and moistens the dry tissues and organs and is useful in V¢ta disorders.,Anuv¢sana Basti,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0043,Apāna,¹¢r¤rakriy¢,"One of the five subtypes of V¢ta, the term literally means downward moving air. Since it is centered in large intestine, which is the main site of V¢ta, it supports and controls all the other subtypes. It governs the downward moving impulses of defaecation, urination and ovulation etc.",Ap¢na,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0044,Apāna Vāyu,¹¢r¤rakriy¢,"Flatus. Regarded as one of the non-suppressible urges, the term is specifically used for the waste bodily wind which is expelled through lower portion of body i.e. anus.",Ap¢na V¢yu,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0045,Aparigraha,Maulika Siddh¢nta,"The fifth Yama. Parigraha means to take, procure, to possess or to seize and A' is prefix for non in Sa¼sk¨ta. Aprigraha, therefore, means non hoarding. It refers to avoidance of unnecessary acquisition of objects not essential for mantaining spiritual study.",Aparigraha,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0046,Apatarpaīa,K¢yacikits¢,"One of the two commonly used ¡yurvedika treatments, the term is used for reducing or detoxifying therapy. It is designed for reducing the body bulk. Involves a series of dietary as well as other regimens that produce lightness e.g; fasting, exercises, exposure to sunlight & administration of drugs. It includes three of the six elementary therapies (Upakrama), namely La¼ghana (lightening), Ruk¾a´a (drying) and Svedava (sudation). All these have one effect in common, i.e. to produce lightness. See Sa¼tarpa´a also.",Apatarpa´a,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0047,Apathya,Pad¢rtha Vij®¢na,"One of the Pram¢´a (source of valid knowledge) mentioned in ¡yurveda, Anum¢na refers to inferential or deduced knowledge dependent on rational or balanced thinking (Yukti) e.g; deduction of the state of digestive fire (Ja°har¢gni) from individual's capacity to digest food.",Apathya,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0048,Apatya,Kaum¢ra Bh¨tya,"Offspring, child or descendant.",Apatya,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0049,Ariṣ°a,Pad¢rtha Vij®¢na,"The term signifies unfavourable symptoms that predict death. Ari¾°a specific to different diseases have been mentioned. Regarded as clinic discipline in ¡yurveda (Ari¾°a Vij®¢na), its knowledge helps the physician to ascertain the possibility of cure of a disease. See ¡sava Ari¾°a also.",Ari¾°a,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
