source_text_id,system,title,author,editor,publisher,edition,publication_year,description,tkdl_url,source_type
TKDL-AYU-BK-057,Ayurveda,Madanapalanighantu,Madanapala,Translated by Rama Prasad,"Khemaraj Shri Krishnadas Prakashan, Bombay",Edn. 1998,1998,"Translated by Rama Prasad, Published by Khemaraj Shri Krishnadas Prakashan, Bombay, Edn. 1998",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-058,Ayurveda,Nighanturatnakara - Part-2,,,"VV Patel, Vishnu Vasudev Godbole",Edn. 1867,1867,"Edited and Marathi Translation by GRS Datar, BAS Tamankar, KS Mahabal, Published by VV Patel, Vishnu Vasudev Godbole, Bombay, Edn. 1867",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-059,Ayurveda,Nighanturatnakara - Part-3,,,"VV Patel Vishnu Vasudev Godbole, Bombay",Edn. 1868,1868,"Edited and Marathi Translation by GRS Datar, BAS Tamankar, KS Mahabal, Published by VV Patel Vishnu Vasudev Godbole, Bombay, Edn. 1868",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-060,Ayurveda,Pakadarpana,Maharaja Nala,Edited by Vamacharana Bhattacharya with Hindi commentary by Indradeva Tripathi,"Chaukhambha Sanskrit Sansthan, Varanasi",,2006,"Edited by Vamacharana Bhattacharya with Hindi commentary by Indradeva Tripathi, Published by Chaukhambha Sanskrit Sansthan, Varanasi, Third Edition, 2006",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-061,Ayurveda,Priyanighantu,Priyavrata Sharma,,"Chaukhamba Surabharti Prakashana, Varanasi",Edn. 1st,2004,"Published by Chaukhamba Surabharti Prakashana, Varanasi, Edn. 1st 2004",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-062,Ayurveda,Rajamartanda (Yogasarasangraha /Nanavidhayogasangraha),Bhoja,Translated by Dr.K.Nishteswar & Dr.R.Vidyanath,Chaukhamba Orientalia (Varanasi),Edn. 1st,2008,"Translated by Dr.K.Nishteswar & Dr.R.Vidyanath, Published by Chaukhamba Orientalia (Varanasi), Edn. 1st 2008",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-063,Ayurveda,Rajanighantu,Pandita Narahari,Edited with Hindi Commentary by Indradeo Tripathi,"Krishnadas Academy, Varanasi",Edn. 2nd,1998,"Edited with Hindi Commentary by Indradeo Tripathi, Published by Krishnadas Academy, Varanasi, Edn. 2nd 1998",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-064,Ayurveda,Rasa Manjari,Acharya Shalinath,edited by Narayan Prasad Mukundarama,Chaukhamba Sanskrit Pratishthan Delhi,,2004,"Translatied and edited by Narayan Prasad Mukundarama, Published by Chaukhamba Sanskrit Pratishthan Delhi, Edition (Reprint) -2004",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-065,Ayurveda,Rasa Yoga Shataka,Pradyumnacharya Vaidya Nilangekar,,"Shrikripa Mudranalya, Hydrabad",1st Edition,1965,"Published by Shrikripa Mudranalya, Hydrabad,1st Edition, June 1965",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-066,Ayurveda,Rasachandanshu or Rasaratnasangraha,Shrishankara,,"Yagneshwar Gopal Dixit, Book seller",Edn.1928,1928,"Editted by Vaidyaraja Datto Ballal Borkar, Published by Yagneshwar Gopal Dixit, Book seller, Budhwaar Peth, Pune, 2nd Edn.1928",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
